nom,roadname,gestionnaire,parc_id,sens_aire,nature,core,double,amenageur,operateur,p_cum,p_max,id_station_itinerance,station_id
A10 - SAINT-LEGER OUEST,,ASF,2147,ouest,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587169,11563
A10 - SAINT-LEGER EST,,ASF,1944,est,aire de service,True,,,,,,,
Manoire,,ASF,1946,,aire de service,False,,Fastned France,Fastned France,2400.0,300.0,FRFASP11568703,10587
A20 - PECH MONTAT,,ASF,1947,,aire de service,False,,Ionity,Ionity,3086.0,350.0,FRIOYP9587219,11573
A20 - JARDIN DES CAUSSES DU LOT,,ASF,1256,,aire de service,False,,,,,,,
Jardin des Causses du Lot Ouest,,,1257,ouest,aire de service,False,,,,,,,
Jardin des Causses du Lot Est,,,1936,est,aire de service,False,,Fastned France,Fastned France,2400.0,300.0,FRFASP11568729,10600
A89 - LA CORREZE,,ASF,1949,,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,4391.0,300.0,FRVIAP104108,18146
La Loutre,,,1490,,aire de repos,False,,,,,,,
,,,2284,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF070003,11029
A89 - PAYS DE BRIVE,,ASF,1948,,aire de service,False,,Ionity,Ionity,3086.0,350.0,FRIOYP9587168,11562
A89 - PAYS DE BRIVE,,ASF,1948,,aire de service,False,,Ionity,Ionity,3152.0,350.0,FRIOYP9587200,11566
,,,2285,,aire de service,False,,,,,,,
,,,2388,,aire de service,False,,,,,,,
,,,2376,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,1000.0,150.0,FRHPCPNF078593,11084
,,,2286,,aire de service,False,,,,,,,
,,,2289,,aire de service,False,,,,,,,
,,,2288,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,575.0,175.0,FRHPCPNF078238,11069
,,,2287,,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587363,11630
,,,2395,,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587384,11634
Cent Septiers,,,1581,,aire de repos,True,,,,,,,
A10 - POITIERS CHINCE,,COFIROUTE,2146,,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587337,11617
A10 - POITIERS JAUNAY CLAN,,COFIROUTE,1950,,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587319,11606
Les Quatre vents,,,1580,,aire de repos,True,,,,,,,
Coulombiers Nord,,,1575,nord,aire de repos,True,,,,,,,
Coulombiers Sud,,,1576,sud,aire de repos,True,,,,,,,
A10 - FENIOUX OUEST,,ASF,2151,ouest,aire de service,True,,Shell Recharge,Shell Recharge,1644.0,300.0,FRSHEP5268701,16591
A10 - FENIOUX EST,,ASF,1952,est,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,3300.0,300.0,FRHPCPNF080362TOTEMTIERSSA,11162
La Benâte,,,1534,,aire de repos,True,,Electra,Electra,2522.0,400.0,FRELCP12954258,9595
Doeuil-sur-le-Mignon Est,,,1545,est,aire de repos,True,,,,,,,
Doeuil-sur-le-Mignon Ouest,,,1546,ouest,aire de repos,True,,,,,,,
Lozay,,,1537,,aire de repos,True,,,,,,,
A10 - POITOU CHARENTES NORD,,ASF,2149,nord,aire de service,True,,Ionity,Ionity,2343.0,400.0,FRIOYP9587257,11586
Poitou Charentes Nord,,,1265,nord,aire de service,True,,Tesla,Tesla,3000.0,250.0,FRTSLP11417,17260
A10 - POITOU CHARENTES SUD,,ASF,1266,sud,aire de service,True,,,,,,,
Poitou Charentes Sud,,,1953,sud,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF078016TOTEM,11042
Sainte Néomaye Nord,,,1564,nord,aire de repos,True,,,,,,,
Sainte Néomaye Sud,,,1565,sud,aire de repos,True,,,,,,,
Gript Nord,,,1554,nord,aire de repos,True,,,,,,,
Gript Sud,,,1555,sud,aire de repos,True,,,,,,,
Sainte Eanne Nord,,,1568,nord,aire de repos,True,,,,,,,
Sainte Eanne Sud,,,1569,sud,aire de repos,True,,,,,,,
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,650.0,300.0,FRALLPGO800040,5290
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,650.0,300.0,FRALLPGO800041,5291
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800042,5292
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800043,5293
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,600.0,300.0,FRALLPGO800044,5294
A10 - ROUILLE PAMPROUX NORD,,ASF,1951,nord,aire de service,True,,Allego,Allego,44.0,22.0,FRALLPGO800505,5561
A10 - ROUILLE PAMPROUX SUD,,ASF,2148,sud,aire de service,True,,Ionity,Ionity,4486.0,350.0,FRIOYP9587171,11564
A83 - LA CHATEAUDRIE,,ASF,2150,,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,3164.0,300.0,FRVIAP104110,18148
A83 - LA CANEPETIERE,,ASF,1954,,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,3164.0,300.0,FRVIAP104109,18147
Auzay Ouest,,,1572,ouest,aire de repos,False,,,,,,,
Auzay Est,,,1571,est,aire de repos,False,,,,,,,
,,,2294,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,2400.0,300.0,FRHPCPNF021485TOTEM,10913
A83 - VENDEE,,ASF,1955,,aire de service,False,,Ionity,Ionity,2243.0,350.0,FRIOYP9587159,11561
A83 - VENDEE,,ASF,1955,,aire de service,False,,Tesla,Tesla,2250.0,250.0,FRTSLP7320,17515
La Pierre de Crazannes,,,1520,,aire de repos,False,,,,,,,
Port d'Envaux Ouest,,,1508,ouest,aire de repos,True,,,,,,,
Port d'envaux Est,,,1509,est,aire de repos,True,,,,,,,
Oiseaux,,,1524,,aire de repos,False,,,,,,,
Chermignac Est,,,1502,est,aire de repos,True,,,,,,,
Chermignac Ouest,,,1503,ouest,aire de repos,True,,,,,,,
Saint-Palais Est,,,1488,est,aire de repos,True,,Electra,Electra,3522.0,400.0,FRELCP12954200,9567
Saint-Palais Ouest,,,1489,ouest,aire de repos,True,,Electra,Electra,2322.0,400.0,FRELCP12954201,9568
Saint-Ciers Est,,,1480,est,aire de repos,True,,,,,,,
Saint-Ciers Ouest,,,1481,ouest,aire de repos,True,,,,,,,
,,,2279,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,225.0,175.0,FRHPCPNF059964,11007
,,,2391,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,400.0,150.0,FRHPCPNF059965TOTEM,11008
,,,2281,,aire de service,False,,,,,,,
,,,2394,,aire de service,False,,,,,,,
,,,2280,,aire de service,True,,,,,,,
,,,2390,,aire de service,True,,Plenitude On The Road,Plenitude On The Road,1302.0,300.0,FRPLNP11910787,14851
,,,2278,,aire de service,True,,Shell Recharge,Shell Recharge,2547.0,300.0,FRSHEP12323924,16567
,,,2278,,aire de service,True,,Shell Recharge,Shell Recharge,2547.0,300.0,FRSHEP5233163,16589
,,,2392,,aire de service,True,,,,,,,
,,,2297,,aire de service,True,,,,,,,
,,,2396,,aire de service,True,,,,,,,
,,,2299,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,900.0,300.0,FRHPCPNF088078,11175
,,,2420,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF042595,10927
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,650.0,300.0,FRALLPGO800010,5273
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,650.0,300.0,FRALLPGO800011,5274
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800012,5275
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800013,5276
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800014,5277
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800281,5448
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,44.0,22.0,FRALLPGO800503,5559
A83 - LES BROUZILS,,ASF,2216,,aire de service,False,,Allego,Allego,44.0,22.0,FRALLPGO800989,5667
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,650.0,300.0,FRALLPGO800020,5279
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,650.0,300.0,FRALLPGO800021,5280
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800022,5281
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800023,5282
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,600.0,300.0,FRALLPGO800024,5283
A83 - CHAVAGNES,,ASF,1957,,aire de service,False,,Allego,Allego,44.0,22.0,FRALLPGO800500,5556
Grissay,,,1586,,aire de repos,False,,,,,,,
Sainte Florence,,,1587,,aire de repos,False,,,,,,,
A87 - LES HERBIERS,,ASF,1956,,aire de service,False,,Ionity,Ionity,5886.0,350.0,FRIOYP9587353,11623
A87 - TREMENTINES,,ASF,1981,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,3900.0,300.0,FRHPCPNF080361TIERSSA,11161
A87 - TREMENTINES,,ASF,1981,,aire de service,False,,Plenitude On The Road,Plenitude On The Road,3404.0,400.0,FRPLNP10525924,14837
Remouillé Est,,,1597,est,aire de repos,False,,,,,,,
Remouillé Ouest,,,1598,ouest,aire de repos,False,,,,,,,
,,,2298,,aire de service,False,,,,,,,
Launay,,,1640,,aire de repos,True,,,,,,,
Le Cellier,,,1641,,aire de repos,True,,,,,,,
Le Réveillon,,,1650,,aire de repos,True,,,,,,,
Les Montilets,,,1651,,aire de repos,True,,,,,,,
