id_pdc_itinerance,id_station_itinerance
FRTSLE0DJDHS,FRTSLP1720
FRTSLE3AYPTW,FRTSLP1720
FRTSLE0DJDH0,FRTSLP1720
FRTSLE00045X,FRTSLP1720
FRTSLE0ZU3CH,FRTSLP32666
FRTSLE0003HZ,FRTSLP5673
FRTSLE0005LN,FRTSLP30045
FRTSLE0005M5,FRTSLP30045
FRTSLE0005LF,FRTSLP30045
FRTSLE0005MB,FRTSLP30045
FRTSLE0005M1,FRTSLP30045
FRTSLE0F4VDO,FRTSLP30256
FRTSLE0DJDJ1,FRTSLP1720
FRTSLE3AYPTO,FRTSLP1720
FRTSLE0DMGUG,FRTSLP4003025
FRTSLE0005PH,FRTSLP29984
FRTSLE0ZU39V,FRTSLP32666
FRTSLE0005PR,FRTSLP29984
FRTSLE0005PB,FRTSLP29984
FRTSLE00045P,FRTSLP1720
FRTSLE0005M3,FRTSLP30045
FRTSLE0005LT,FRTSLP30045
FRTSLE0005PL,FRTSLP29984
FRTSLE0005PX,FRTSLP29984
FRTSLE0005M7,FRTSLP30045
FRTSLE0005P7,FRTSLP29984
FRTSLE0005P9,FRTSLP29984
FRTSLE0005LX,FRTSLP30045
FRTSLE0005LP,FRTSLP30045
FRTSLE0005LR,FRTSLP30045
FRTSLE0CF4E2,FRTSLP33175
FRTSLE0DZ67L,FRTSLP29581
FRTSLE0CF4KO,FRTSLP33175
FRTSLE0005PV,FRTSLP29984
FRTSLE0005IV,FRTSLP28781
FRTSLE0005PJ,FRTSLP29984
FRTSLE00057P,FRTSLP29155
FRTSLE00057V,FRTSLP29155
FRTSLE00058B,FRTSLP29155
FRTSLE00057J,FRTSLP29155
FRTSLE00057Z,FRTSLP29155
FRTSLE000583,FRTSLP29155
FRTSLE000587,FRTSLP29155
FRTSLE00057N,FRTSLP29155
FRTSLE00057R,FRTSLP29155
FRTSLE00057T,FRTSLP29155
FRTSLE000585,FRTSLP29155
FRTSLE000589,FRTSLP29155
FRTSLE00058D,FRTSLP29155
FRTSLE00057L,FRTSLP29155
FRTSLE00057X,FRTSLP29155
FRTSLE000581,FRTSLP29155
FRTSLE0005OZ,FRTSLP29984
FRTSLE0005OR,FRTSLP29984
FRTSLE0005JJ,FRTSLP28781
FRTSLE10KEQ9,FRTSLP34059
FRTSLE0RDHDB,FRTSLP59510
FRTSLE0ZHY37,FRTSLP29562
FRTSLE0ZU3CG,FRTSLP32666
FRTSLE0004GT,FRTSLP1726
FRTSLE0JXXTA,FRTSLP30203
FRTSLE2LW5G5,FRTSLP413105
FRTSLE0KPW0A,FRTSLP20265
FRTSLE2IA3JJ,FRTSLP413105
FRTSLE0JRE81,FRTSLP407740
FRTSLE0JRE82,FRTSLP407740
FRTSLE0JRE83,FRTSLP407740
FRTSLE0JRE7W,FRTSLP407740
FRTSLE0JRE7X,FRTSLP407740
FRTSLE0JRE7Y,FRTSLP407740
FRTSLE0JRE7Z,FRTSLP407740
FRTSLE0JRE80,FRTSLP407740
FRTSLE0ZHY1X,FRTSLP29562
FRTSLE0NBHL0,FRTSLP33157
FRTSLE2IA2M5,FRTSLP413105
FRTSLE41D5XM,FRTSLP417275
FRTSLE0005QD,FRTSLP29758
FRTSLE0005Q7,FRTSLP29758
FRTSLE0005QB,FRTSLP29758
FRTSLE0005QV,FRTSLP29758
FRTSLE0005QX,FRTSLP29758
FRTSLE0005QR,FRTSLP29758
FRTSLE0005Q3,FRTSLP29758
FRTSLE0005Q5,FRTSLP29758
FRTSLE0005QF,FRTSLP29758
FRTSLE0005QP,FRTSLP29758
FRTSLE0005Q9,FRTSLP29758
FRTSLE0005QN,FRTSLP29758
FRTSLE0005QT,FRTSLP29758
FRTSLE0005QH,FRTSLP29758
FRTSLE0005QJ,FRTSLP29758
FRTSLE0005QL,FRTSLP29758
FRTSLE0CRPTE,FRTSLP30242
FRTSLE10KEQF,FRTSLP34059
FRTSLE0003HX,FRTSLP5673
FRTSLE10KEQB,FRTSLP34059
FRTSLE10KEQK,FRTSLP34059
FRTSLE0ZIG7G,FRTSLP29562
FRTSLE0ZHY1Y,FRTSLP29562
FRTSLE0DP5FU,FRTSLP30255
FRTSLE0XH5D2,FRTSLP30244
FRTSLE0XH5CZ,FRTSLP30244
FRTSLE0XH5D0,FRTSLP30244
FRTSLE0DP5FO,FRTSLP30255
FRTSLE0XH5CL,FRTSLP30244
FRTSLE0XH5CM,FRTSLP30244
FRTSLE0XH5CY,FRTSLP30244
FRTSLE2LW5SK,FRTSLP413105
FRTSLE0XH5CJ,FRTSLP30244
FRTSLE0F4VE9,FRTSLP30256
FRTSLE0XH5CU,FRTSLP30244
FRTSLE0RDH3H,FRTSLP59510
FRTSLE0XH5D3,FRTSLP30244
FRTSLE0XH5CX,FRTSLP30244
FRTSLE2IA4FK,FRTSLP413105
FRTSLE0XH5CR,FRTSLP30244
FRTSLE0XH5D7,FRTSLP30244
FRTSLE0CF4KM,FRTSLP33175
FRTSLE41D5YO,FRTSLP417275
FRTSLE0CF47M,FRTSLP33175
FRTSLE0DMGUI,FRTSLP4003025
FRTSLE0RDGYO,FRTSLP59510
FRTSLE0DP5FQ,FRTSLP30255
FRTSLE0CF4KQ,FRTSLP33175
FRTSLE0CF49S,FRTSLP33175
FRTSLE2LW4UP,FRTSLP413105
FRTSLE2I9ZCR,FRTSLP413105
FRTSLE0CF4KS,FRTSLP33175
FRTSLE0CF49U,FRTSLP33175
FRTSLE0CF47K,FRTSLP33175
FRTSLE0005JN,FRTSLP28781
FRTSLE0003PF,FRTSLP1766
FRTSLE0005J9,FRTSLP28781
FRTSLE0003PP,FRTSLP1766
FRTSLE14J3WJ,FRTSLP5674
FRTSLE0003FR,FRTSLP7320
FRTSLE0DP5FP,FRTSLP30255
FRTSLE0DP5FR,FRTSLP30255
FRTSLE0DP5FT,FRTSLP30255
FRTSLE0003FX,FRTSLP7320
FRTSLE0004D3,FRTSLP3972
FRTSLE0004D7,FRTSLP3972
FRTSLE0ZHY3H,FRTSLP29562
FRTSLE0ZHY3I,FRTSLP29562
FRTSLE0004SL,FRTSLP16732
FRTSLE0003JR,FRTSLP1735
FRTSLE2LW42Z,FRTSLP413105
FRTSLE0003JV,FRTSLP11193
FRTSLE0003HT,FRTSLP5673
FRTSLE0K9ECA,FRTSLP30203
FRTSLE0RDHED,FRTSLP59510
FRTSLE0004SH,FRTSLP16732
FRTSLE0CRPTG,FRTSLP30242
FRTSLE0005MJ,FRTSLP30181
FRTSLE0005MX,FRTSLP30181
FRTSLE00053N,FRTSLP21027
FRTSLE0005ML,FRTSLP30181
FRTSLE0NBHKL,FRTSLP33157
FRTSLE0005PZ,FRTSLP29984
FRTSLE0ZIG7I,FRTSLP29562
FRTSLE000461,FRTSLP5671
FRTSLE0F4VEH,FRTSLP30256
FRTSLE0F4VDL,FRTSLP30256
FRTSLE0F4VDH,FRTSLP30256
FRTSLE0ZU39T,FRTSLP32666
FRTSLE0KP7C7,FRTSLP30253
FRTSLE0003H5,FRTSLP5673
FRTSLE0004SB,FRTSLP16732
FRTSLE10KEQI,FRTSLP34059
FRTSLE0003I7,FRTSLP5673
FRTSLE0003ID,FRTSLP5673
FRTSLE0F4VET,FRTSLP30256
FRTSLE0DP5FL,FRTSLP30255
FRTSLE0DP5FM,FRTSLP30255
FRTSLE0003IV,FRTSLP5670
FRTSLE0DMGUU,FRTSLP4003025
FRTSLE0004CX,FRTSLP3972
FRTSLE41D5WS,FRTSLP417275
FRTSLE0003PL,FRTSLP1766
FRTSLE0DMGUW,FRTSLP4003025
FRTSLE0DMGUS,FRTSLP4003025
FRTSLE0I9AAB,FRTSLP29713
FRTSLE0F4VE0,FRTSLP30256
FRTSLE0003HV,FRTSLP5673
FRTSLE0CF49W,FRTSLP33175
FRTSLE0CF4E8,FRTSLP33175
FRTSLE00050T,FRTSLP20265
FRTSLE0CF4E6,FRTSLP33175
FRTSLE0CF47I,FRTSLP33175
FRTSLE0003IF,FRTSLP5670
FRTSLE00045Z,FRTSLP5671
FRTSLE000465,FRTSLP5671
FRTSLE0DP5FN,FRTSLP30255
FRTSLE0003H7,FRTSLP5673
FRTSLE2IA2YH,FRTSLP413105
FRTSLE00050L,FRTSLP20265
FRTSLE0DP5FK,FRTSLP30255
FRTSLE0004BB,FRTSLP5675
FRTSLE0DMGUQ,FRTSLP4003025
FRTSLE0DMGV0,FRTSLP4003025
FRTSLE0DMGUE,FRTSLP4003025
FRTSLE00L5LH,FRTSLP30513
FRTSLE00L5Z5,FRTSLP30513
FRTSLE00L5TH,FRTSLP30513
FRTSLE00L5J3,FRTSLP30513
FRTSLE00L5Z3,FRTSLP30513
FRTSLE00L5J1,FRTSLP30513
FRTSLE0I998U,FRTSLP29713
FRTSLE0RDHFT,FRTSLP59510
FRTSLE0KP7CA,FRTSLP30253
FRTSLE00L5LB,FRTSLP30513
FRTSLE00L65R,FRTSLP30513
FRTSLE00L5J5,FRTSLP30513
FRTSLE0004SX,FRTSLP16732
FRTSLE0ZIG7J,FRTSLP29562
FRTSLE00053F,FRTSLP21027
FRTSLE41D5YN,FRTSLP417275
FRTSLE00053L,FRTSLP21027
FRTSLE000541,FRTSLP21027
FRTSLE0KPW1N,FRTSLP20265
FRTSLE1BRU43,FRTSLP6431
FRTSLE1Y4BU4,FRTSLP437609
FRTSLE0003I3,FRTSLP5673
FRTSLE0KP7CB,FRTSLP30253
FRTSLE0DMGUM,FRTSLP4003025
FRTSLE1BRTY4,FRTSLP6431
FRTSLE1BRTZZ,FRTSLP6431
FRTSLE1BRU44,FRTSLP6431
FRTSLE0DP5FJ,FRTSLP30255
FRTSLE0ZIG7H,FRTSLP29562
FRTSLE1BRU49,FRTSLP6431
FRTSLE0ZU39W,FRTSLP32666
FRTSLE0004SP,FRTSLP16732
FRTSLE0CRPVM,FRTSLP30242
FRTSLE0005OT,FRTSLP29984
FRTSLE41D5WV,FRTSLP417275
FRTSLE0004B7,FRTSLP5675
FRTSLE0003G1,FRTSLP7320
FRTSLE0CF4E4,FRTSLP33175
FRTSLE0004D9,FRTSLP3972
FRTSLE0004D5,FRTSLP3972
FRTSLE0003FT,FRTSLP7320
FRTSLE0003FP,FRTSLP7320
FRTSLE0003JX,FRTSLP11193
FRTSLE0005OH,FRTSLP30249
