,id_station_itinerance,month,energy
387,FRTSLP1764,5,101432.169
388,FRTSLP1764,6,103277.362
389,FRTSLP1764,7,100432.009
390,FRTSLP1764,8,143348.572
391,FRTSLP1764,9,97433.5322
392,FRTSLP1766,3,1633.2549999999999
393,FRTSLP1766,4,74693.137
394,FRTSLP1766,5,74467.598
395,FRTSLP1766,6,78633.664
396,FRTSLP1766,7,75739.9021
397,FRTSLP1766,8,73835.4067
398,FRTSLP1766,9,77909.4282
399,FRTSLP1767,3,40.146
400,FRTSLP1767,4,18592.624
401,FRTSLP1767,5,21120.776
402,FRTSLP1767,6,27639.02
403,FRTSLP1767,7,45359.572
404,FRTSLP1767,8,51984.262
405,FRTSLP1767,9,16280.0575
406,FRTSLP1768,3,1403.303
407,FRTSLP1768,4,88624.27
408,FRTSLP1768,5,80390.026
409,FRTSLP1768,6,88001.664
410,FRTSLP1768,7,97042.954
411,FRTSLP1768,8,102363.816
412,FRTSLP1768,9,76381.5894
413,FRTSLP1770,3,1427.702
414,FRTSLP1770,4,74942.278
415,FRTSLP1770,5,70878.087
416,FRTSLP1770,6,73439.587
417,FRTSLP1770,7,91114.871
418,FRTSLP1770,8,86581.388
419,FRTSLP1770,9,48782.9016
420,FRTSLP1771,3,1222.004
421,FRTSLP1771,4,69802.296
422,FRTSLP1771,5,66697.745
423,FRTSLP1771,6,65242.054
424,FRTSLP1771,7,85490.898
425,FRTSLP1771,8,80177.116
426,FRTSLP1771,9,41902.1628
427,FRTSLP1772,3,1619.887
428,FRTSLP1772,4,63805.636
429,FRTSLP1772,5,62895.095
430,FRTSLP1772,6,72611.188
431,FRTSLP1772,7,64508.797
432,FRTSLP1772,8,41866.721
433,FRTSLP1772,9,6762.551
434,FRTSLP1774,3,880.509
435,FRTSLP1774,4,51053.669
436,FRTSLP1774,5,51479.267
437,FRTSLP1774,6,64038.083
438,FRTSLP1774,7,69725.091
439,FRTSLP1774,8,57468.185
440,FRTSLP1774,9,41997.47
441,FRTSLP17909,3,976.0889999999999
442,FRTSLP17909,4,88293.348
443,FRTSLP17909,5,83996.141
444,FRTSLP17909,6,88293.676
445,FRTSLP17909,7,129186.894
446,FRTSLP17909,8,180040.956
447,FRTSLP17909,9,75374.1699
448,FRTSLP20263,3,2618.268
449,FRTSLP20263,4,167496.884
450,FRTSLP20263,5,152952.328
451,FRTSLP20263,6,168967.071
452,FRTSLP20263,7,267471.16
453,FRTSLP20263,8,258320.096
454,FRTSLP20263,9,154324.557
455,FRTSLP20264,3,2189.389
456,FRTSLP20264,4,116324.415
457,FRTSLP20264,5,103895.774
458,FRTSLP20264,6,112706.87
459,FRTSLP20264,7,163939.35
460,FRTSLP20264,8,141228.903
461,FRTSLP20264,9,106606.3961
462,FRTSLP20265,3,1012.076
463,FRTSLP20265,4,64459.212
464,FRTSLP20265,5,67302.327
465,FRTSLP20265,6,76488.636
466,FRTSLP20265,7,114132.649
467,FRTSLP20265,8,149816.829
468,FRTSLP20265,9,58082.8746
469,FRTSLP20437,3,1834.276
470,FRTSLP20437,4,84227.851
471,FRTSLP20437,5,73225.27
472,FRTSLP20437,6,60695.481999999996
473,FRTSLP20437,7,72408.587
474,FRTSLP20437,8,75092.729
475,FRTSLP20437,9,42451.7953
476,FRTSLP21027,3,783.291
477,FRTSLP21027,4,82543.493
478,FRTSLP21027,5,62566.781
479,FRTSLP21027,6,76904.229
480,FRTSLP21027,7,144555.849
481,FRTSLP21027,8,139043.613
482,FRTSLP21027,9,64279.3122
483,FRTSLP2566,3,3251.032
484,FRTSLP2566,4,163866.836
485,FRTSLP2566,5,163805.587
486,FRTSLP2566,6,171842.414
487,FRTSLP2566,7,215370.536
488,FRTSLP2566,8,186567.477
489,FRTSLP2566,9,144869.0688
490,FRTSLP2583,3,4440.194
491,FRTSLP2583,4,188684.892
492,FRTSLP2583,5,187429.409
493,FRTSLP2583,6,193336.12
494,FRTSLP2583,7,207807.372
495,FRTSLP2583,8,187096.308
496,FRTSLP2583,9,201186.8458
497,FRTSLP2584,3,590.991
498,FRTSLP2584,4,58277.36
499,FRTSLP2584,5,54736.911
500,FRTSLP2584,6,66572.448
501,FRTSLP2584,7,103629.622
502,FRTSLP2584,8,104413.63
503,FRTSLP2584,9,50294.6674
504,FRTSLP26192,3,2416.761
505,FRTSLP26192,4,128402.592
506,FRTSLP26192,5,124154.868
507,FRTSLP26192,6,132097.554
508,FRTSLP26192,7,158068.651
509,FRTSLP26192,8,172948.821
510,FRTSLP26192,9,107758.565
511,FRTSLP2622,3,1095.857
512,FRTSLP2622,4,40270.538
513,FRTSLP2622,5,41818.054
514,FRTSLP2622,6,55137.81
515,FRTSLP2622,7,57269.588
516,FRTSLP2622,8,50777.239
517,FRTSLP2622,9,37801.1804
518,FRTSLP26558,3,7616.174
519,FRTSLP26558,4,314335.769
520,FRTSLP26558,5,329422.484
521,FRTSLP26558,6,382925.326
522,FRTSLP26558,7,419918.93
523,FRTSLP26558,8,415740.066
524,FRTSLP26558,9,331752.9256
525,FRTSLP27522,3,2506.103
526,FRTSLP27522,4,161968.875
527,FRTSLP27522,5,162242.159
528,FRTSLP27522,6,177109.911
529,FRTSLP27522,7,286278.894
530,FRTSLP27522,8,364569.693
531,FRTSLP27522,9,136242.7694
532,FRTSLP27649,3,1403.769
533,FRTSLP27649,4,118895.712
534,FRTSLP27649,5,113636.595
535,FRTSLP27649,6,127167.417
536,FRTSLP27649,7,184921.262
537,FRTSLP27649,8,171794.377
538,FRTSLP27649,9,119598.0779
539,FRTSLP27742,3,1811.088
540,FRTSLP27742,4,131090.659
541,FRTSLP27742,5,112047.392
542,FRTSLP27742,6,114906.537
543,FRTSLP27742,7,201939.284
544,FRTSLP27742,8,209268.668
545,FRTSLP27742,9,90712.1474
546,FRTSLP2819,3,1771.271
547,FRTSLP2819,4,82691.587
548,FRTSLP2819,5,100745.264
549,FRTSLP2819,6,96011.576
550,FRTSLP2819,7,103857.457
551,FRTSLP2819,8,92728.66100000001
552,FRTSLP2819,9,77129.2812
