Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,Aire de Villechétif,R,APRR,54642.11858,C,A26
RRN C,Aire de Saint-Julien-Mont-Denis,S,SFTRF,77818.82214,C,A43
RRN C,ASF_A_341 - Aire des Bruyères,R,ASF,27014.01753,C,A89
RRN C,ASF_A_341 - Aire des Ardilliers,R,ASF,28882.47668,C,A89
RRN C,Les Croiselles,R,COFIROUTE,21381.99385,C,A28
RRN C,Les Perrieres,R,COFIROUTE,20107.20715,C,A28
RRN C,L'Esperance,R,SANEF,21179.35652,C,A4
RRN C,La Vesle,R,SANEF,15547.79025,C,A4
RRN C,SANARY-SUD,R,ESCOTA,12381.65469,C,A50
RRN C,SANARY-NORD,R,ESCOTA,12048.00321,C,A50
RRN C,La Terrasse,R,AREA,15000.94704,C,A41
RRN C,Le Lac,R,APRR,36605.46829,C,A40
RRN C,Les Neyrolles,R,APRR,25553.62927,C,A40
RRN C,Val de Gris,R,APRR,51582.93905,C,A31
RRN C,la Cote Robert,R,APRR,73743.46737,C,A31
RRN C,Mondeville,R,APRR,56447.78082,C,A5
RRN C,Le Liard,R,APRR,15417.11421,C,A6
RRN C,Sonville,R,APRR,30379.39733,C,A6
RRN C,La Coloterie,R,APRR,30854.23353,C,A5
RRN C,Aire de Saint Pouange,R,APRR,41597.94669,C,A5
RRN C,Montaphilant,R,APRR,132087.1408,C,A5
RRN C,Les Rasets,R,APRR,45643.26915,C,A5
RRN C,Gravon,R,APRR,91392.99902,C,A5
RRN C,Malvaux,R,APRR,43160.18143,C,A31
RRN C,Gottesheim,R,SANEF,14643.23223,C,A4
RRN C,Lienbach,R,SANEF,15852.54543,C,A4
RRN C,La Bardolle,R,SANEF,23818.39133,C,A26
RRN C,Previlliers,R,SANEF,20278.32155,C,A4
RRN C,La Garenne,R,SANEF,23149.48028,C,A26
RRN C,Grands Traquiers,R,SANEF,24791.07369,C,A26
RRN C,La Villeneuve-en-Chevrie Sud,R,SAPN,5508.55734,C,A13
RRN C,La Villeneuve-en-Chevrie Nord,R,SAPN,6248.67966,C,A13
RRN C,La Fontenelle,R,SANEF,19211.43539,C,A4
RRN C,Rarecourt,R,SANEF,22104.51052,C,A4
RRN C,Jubecourt,R,SANEF,23173.51434,C,A4
RRN C,la Rouge Haie,R,SANEF,8268.99149,C,A4
RRN C,Les Genievres,R,SANEF,10160.01343,C,A4
RRN C,Romigny,R,SANEF,16895.63204,C,A4
