,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
1856,3684.58,FRLMSP89369699,300.0,5353,False,aire de service,parc 1042
1857,2184.58,FRLMSP89369721,300.0,5394,False,aire de service,parc 840
1858,122.08,FRLMSP89489188,50.0,5414,True,aire de service,parc 814
1859,600.0,FRALLEGO800012,300.0,5415,False,aire de service,parc 1090
1860,2184.5,FRVIAP102109,300.0,5451,True,aire de service,parc 1067
1861,5743.0,FRIOYP8FXN59N9Q963,350.0,5452,True,aire de service,parc 776
1862,2243.0,FRIOYP26IMTDOPUVW2,350.0,5469,True,aire de service,parc 970
1863,3684.58,FRLMSP89369698,300.0,5478,False,aire de service,parc 880
1864,1543.0,FRIOYP2SO22HMHX3NV,350.0,5504,True,aire de service,parc 1094
1865,4486.0,FRIOYP67XTIO2XIFAT,350.0,5512,True,aire de service,parc 1107
1866,600.0,FRALLEGO800041,300.0,5517,True,aire de service,parc 832
1867,2250.5,FRVIAP103111,300.0,5524,True,aire de service,parc 1015
1868,2184.0,FRVIAP102101,300.0,5529,False,aire de service,parc 840
1869,4872.0,FRVIAP101114,300.0,5533,True,aire de service,parc 879
1870,4872.0,FRVIAP101102,300.0,5544,True,aire de service,parc 934
1871,66.0,FRIOYP2AR9E4CBCDQA,22.0,5545,True,aire de service,parc 776
1872,650.0,FRALLEGO800020,300.0,5572,False,aire de service,parc 838
1873,1543.0,FRIOYP4W66121BLLEE,350.0,5599,True,aire de service,parc 1070
1874,600.0,FRALLEGO800014,300.0,5606,False,aire de service,parc 1090
1875,3786.0,FRIOYP32ELUSTO48FF,350.0,5610,False,aire de service,parc 804
1876,2250.5,FRVIAP103112,300.0,5611,False,aire de service,parc 874
1877,20.0,FRALLEGO000103,20.0,5612,False,aire de service,parc 1128
1878,2184.5,FRVIAP102110,300.0,5621,True,aire de service,parc 1067
1879,22.08,FRLMSP89605879,22.08,5625,False,aire de service,parc 996
1880,4584.58,FRLMSP89369825,300.0,5635,True,aire de service,parc 1224
1881,1543.0,FRIOYP54605BV9EYG,350.0,5645,True,aire de service,parc 765
1882,2484.58,FRLMSP89369686,300.0,5655,True,aire de service,parc 936
1883,4584.58,FRLMSP90109747,300.0,5659,True,aire de service,parc 1111
1884,4391.0,FRVIAP104108,300.0,5664,False,aire de service,parc 830
1885,3398.0,FRVIAP103114,300.0,5681,True,aire de service,parc 1009
1886,3672.0,FRVIAP101109,300.0,5689,True,aire de service,parc 1135
1887,44.0,FRALLEGO800989,22.0,5696,False,aire de service,parc 1090
1888,2100.0,FRIOYP2BQ7FDSYMJ14,350.0,5711,True,aire de service,parc 861
1889,4884.58,FRLMSP89369697,300.0,5749,True,aire de service,parc 879
1890,2250.82,FRLMSP89369709,300.0,5752,False,aire de service,parc 1132
1891,4884.58,FRLMSP89369694,300.0,5757,False,aire de service,parc 1145
1892,2688.0,FRVIAP104112,300.0,5764,False,aire de service,parc 1114
1893,3384.58,FRLMSP89370717,300.0,5768,True,aire de service,parc 894
1894,3672.0,FRVIAP101108,300.0,5783,True,aire de service,parc 976
1895,2184.5,FRVIAP102102,300.0,5798,False,aire de service,parc 1100
1896,2620.0,FRVIAP122239,300.0,5825,True,aire de service,parc 1087
1897,2243.0,FRIOYP877ZIORLM44X,350.0,5826,True,aire de service,parc 1121
1898,3384.5,FRVIAP102115,300.0,5845,True,aire de service,parc 894
1899,20.0,FRALLEGO0001031,20.0,5851,False,aire de service,parc 1128
1900,2943.0,FRIOYP1L9C4MJZ4MUZ,350.0,5852,True,aire de service,parc 991
1901,4884.58,FRLMSP89365082,300.0,5855,True,aire de service,parc 934
1902,1543.0,FRIOYP1LI2UAOTXTMT,350.0,5874,False,aire de service,parc 1097
1903,3454.56,FRLMSP89369720,300.0,5898,True,aire de service,parc 1009
1904,1543.0,FRIOYP1UNGTP13N19Y,350.0,5901,False,aire de service,parc 821
1905,1543.0,FRIOYPXI8KNI02O4N,350.0,5914,False,aire de service,parc 939
1906,1222.0,FRATLPZ330FR22ETAP000001,150.0,5959,False,aire de service,parc 1191
1907,3264.0,FRVIAP104104,300.0,5980,False,aire de service,parc 996
1908,600.0,FRALLEGO800003,300.0,6012,False,aire de service,parc 1232
1909,3072.0,FRVIAP101113,300.0,6028,True,aire de service,parc 1060
1910,2784.58,FRLMSP89370718,300.0,6031,True,aire de service,parc 1220
1911,1543.0,FRIOYP54I7UPQKP2Y2,350.0,6052,True,aire de service,parc 942
1912,2250.5,FRVIAP103113,300.0,6160,False,aire de service,parc 857
1913,600.0,FRALLEGO800034,300.0,6176,True,aire de service,parc 811
1914,4584.5,FRVIAP102107,300.0,6183,True,aire de service,parc 1290
1915,487.0,FRALLP579G0Z2NCNPN,150.0,6193,False,aire de service,parc 1232
1916,66.0,FRIOYP4520,22.0,6194,False,aire de service,parc 829
1917,2243.0,FRIOYP11Q5PX08BSGM,350.0,6237,False,aire de service,parc 836
1918,600.0,FRALLEGO800042,300.0,6255,True,aire de service,parc 832
1919,1543.0,FRIOYP2P2QD3XDSS0H,350.0,6279,True,aire de service,parc 869
1920,143.0,FRESEPS42207AC,50.0,6302,False,aire de service,parc 1257
1921,650.0,FRALLEGO800030,300.0,6313,True,aire de service,parc 811
1922,2250.5,FRVIAP103102,300.0,6323,True,aire de service,parc 971
1923,6160.0,FRATLPFR00309,300.0,6328,True,aire de service,parc 1021
1924,2250.82,FRLMSP89370722,300.0,6338,False,aire de service,parc 1229
1925,4650.5,FRVIAP103115,400.0,6349,True,aire de service,parc 1073
1926,650.0,FRALLEGO800031,300.0,6377,True,aire de service,parc 811
1927,1760.0,FRVIAP111101,480.0,6397,False,aire de service,parc 1085
1928,2243.0,FRIOYP2O1V727Q0H8R,350.0,6402,True,aire de service,parc 1291
1929,1543.0,FRIOYP5VXBPGLHPV9D,350.0,6477,True,aire de service,parc 1101
1930,2243.0,FRIOYP4GWI6EA80G9D,350.0,6479,True,aire de service,parc 968
1931,3086.0,FRIOYPQZLIP8YQRMB,350.0,6520,True,aire de service,parc 961
1932,3672.0,FRVIAP101116,300.0,6534,False,aire de service,parc 1042
1933,2484.58,FRLMSP89369685,300.0,6563,True,aire de service,parc 1034
1934,600.0,FRE04POAZS226,150.0,6594,True,aire de service,parc 1244
1935,4584.5,FRVIAP102118,300.0,6620,True,aire de service,parc 1072
1936,1543.0,FRIOYP3T9A487LF57F,350.0,6631,False,aire de service,parc 1096
1937,4486.0,FRIOYP5SRHO2MDVBT7,350.0,6632,False,aire de service,parc 1307
1938,4584.5,FRVIAP102108,300.0,6649,True,aire de service,parc 1224
1939,2784.5,FRVIAP102117,300.0,6659,True,aire de service,parc 1288
1940,2250.5,FRVIAP103105,300.0,6675,True,aire de service,parc 1126
1941,2184.5,FRVIAP102105,300.0,6681,False,aire de service,parc 912
1942,66.0,FRIOYP4095,22.0,6722,True,aire de service,parc 999
1943,66.0,FRIOYP4403,22.0,6776,True,aire de service,parc 776
1944,2306.5,FRVIAP104111,300.0,6802,False,aire de service,parc 850
