p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
17.0,17.0,FRS37P219675,Modulo,Modulo Energies,0.73106,47.063082
150.0,502.3,FRETIP42279A,E-Totem,E-Totem,4.263625,45.510207
300.0,300.0,FRELCPE8M5,Electra,Electra,2.77541,49.706589
50000.0,144160.0,FRDRVPCRFMKT605001,DRIVECO,,2.462888,49.202593
22.0,44.0,FRALLPGO900634,Allego,Allego,4.391881,43.818484
150.0,300.0,FRALLPGO900442,Allego,Allego,2.954726,48.396849
350.0,1543.0,FRIOYP1248,Ionity,Ionity,-0.378539,46.296224
2.3,4.6,FRESEPS42259AB,E-Totem,E-Totem,4.58423,45.549511
2.3,4.6,FRESEPS42207AH,E-Totem,E-Totem,4.503978,45.457776
300.0,600.0,FRVIAP1234603004,ENGIE Vianeo,ENGIE Vianeo,2.460085,48.610443
300.0,600.0,FRALLPGO900178,Allego,Allego,6.141524,49.353262
400.0,400.0,FRELCPGEEU,Electra,Electra,6.476677,48.199413
300.0,600.0,FRALLPGO900025,Allego,Allego,-0.540376,47.488698
120.0,394.0,FRPD1PBOUGAU,Power Dot France,Power Dot France,3.295866,49.819015
24.0,46.0,FRS77E77371002,Bouygues E&S,Ecocharge77,3.01482281219352,48.816512048955
300.0,300.0,FRELCPV5K3,Electra,Electra,5.757481,45.165201
180.0,1202.0,FRPD1PSYUMGR,Power Dot France,Power Dot France,2.458553,48.703188
300.0,300.0,FRELCPBT5Z,Electra,Electra,7.196502,43.709119
22.0,44.0,FRALLPGO900695,Allego,Allego,-0.939568,45.310383
17.0,17.0,FRS37P220293,Modulo,Modulo Energies,0.5283,47.649058
24.0,46.0,FRS77E77363002,Bouygues E&S,Ecocharge77,2.6314777129115705,48.91535409762626
50000.0,144160.0,FRDRVPCRFMKT404001,DRIVECO,,-0.804203,43.825537
250.0,2250.0,FRTSLP33161,Tesla,Tesla,6.630075,44.903824
22.0,22.0,FRS28P203809,Modulo,Modulo Energies,1.674677,48.610027
22.0,22.0,FRS88P179726,Modulo,Modulo Energies,6.45822,48.156
18.0,36.0,FRS77E77389001,Bouygues E&S,Ecocharge77,2.660926,48.521801
300.0,600.0,FRVIAP1000118113,ENGIE Vianeo,ENGIE Vianeo,1.954211,48.941591
320.0,480.0,FRIENP004701,NW IECharge,NW IECharge,4.175608,45.914829
2.3,4.6,FRESEPS42316AA,E-Totem,E-Totem,4.251275,45.409056
50000.0,144160.0,FRDRVPCRFMKT318401,DRIVECO,,1.336056,43.689825
17.0,17.0,FRS08P35991,Modulo,Modulo Energies,5.1669,49.6304
50.0,50.0,FRS51P127011,Modulo,Modulo Energies,4.581681,48.728361
17.0,17.0,FRS55P66457,Modulo,Modulo Energies,5.662529,49.331998
300.0,600.0,FRSHEP337,Shell Recharge,Shell Recharge,0.200588,46.000855
22.0,66.0,FREVZP9FA10B7F883E4030AFE399EF72A0D,EVzen,Schiever - Bornes publiques,3.513517,47.453851
100.0,372.0,FRPD1PIBSCHT,Power Dot France,Power Dot France,4.790138,46.254678
17.0,17.0,FRS51P10673,Modulo,Modulo Energies,4.36403,48.951826
17.0,17.0,FRS37P219804,Modulo,Modulo Energies,0.598126,47.273001
300.0,600.0,FRVIAP2012208704,ENGIE Vianeo,ENGIE Vianeo,2.543963,48.643978
100.0,472.0,FRPD1PKFCASL,Power Dot France,Power Dot France,6.438623,46.352774
300.0,600.0,FRVIAP1000118079,ENGIE Vianeo,ENGIE Vianeo,4.96054,48.057611
17.0,17.0,FRS37P221248,Modulo,Modulo Energies,0.549604,47.348606
22.0,44.0,FRS77E77447001,Bouygues E&S,Ecocharge77,2.549188,48.557755
22.0,22.0,FRS88P181009,Modulo,Modulo Energies,6.43273,48.1786
22.0,22.0,FRS37P4525,Modulo,Modulo Energies,0.984678,47.28643
300.0,600.0,FRALLPGO900176,Allego,Allego,5.877108,43.124107
17.0,17.0,FRS55P134151,Modulo,Modulo Energies,5.586529,48.764309
17.0,17.0,FRS41P3965,Modulo,Modulo Energies,1.192719,47.756018
