idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
128,"[46.873808, -1.284626]","[-0.15471000000000001, 0.9879600000000001]",AS,A83 - CHAVAGNES,{'roadname': 'A83'},ASF,NIORT-NANTES,
129,"[46.878281, -1.289025]","[0.30353399999999997, -0.9528209999999999]",AS,A83 - LES BROUZILS,{'roadname': 'A83'},ASF,NANTES-NIORT,
131,"[46.903943, -1.047673]","[0.553246, 0.8330179999999999]",AS,A87 - LES HERBIERS,{'roadname': 'A87'},ASF,LA ROCHE/YON-ANGERS,
142,"[47.135137, -0.826369]","[0.031236299999999998, 0.999512]",AS,A87 - TREMENTINES,{'roadname': 'A87'},ASF,ANGERS-LA ROCHE/YON,D
194,"[47.804317, -0.167306]","[0.363739, 0.9315009999999999]",AS,A11 - PARCE SUR SARTHE EST,{'roadname': 'A11'},ASF,LE MANS-ANGERS,
195,"[47.80686, -0.168384]","[-0.34939000000000003, -0.936977]",AS,A11 - PARCE SUR SARTHE OUEST,{'roadname': 'A11'},ASF,LE MANS-ANGERS,
358,"[43.390501, 5.258929]","[-0.766044, -0.642788]",AS,A55 - GIGNAC LA NERTHE,{'roadname': 'A55'},ASF,MARTIGUES-MARSEILLE,
359,"[43.392286 , 5.2566836]","[-0.766044, -0.642788]",AS,A55 - GIGNAC REBUTY,{'roadname': 'A55'},ASF,MARSEILLE-MARTIGUES,
2588,"[43.418548, -0.584584]","[-0.7846679999999999, 0.619916]",AS,A64 - LACQ AUDEJOS NORD,{'roadname': 'A64'},ASF,TOULOUSE-BAYONNE,
2589,"[43.421562, -0.598730]","[0.918032, -0.396507]",AS,A64 - LACQ AUDEJOS SUD,{'roadname': 'A64'},ASF,BAYONNE-TOULOUSE,
2620,"[43.109946, 0.6147]","[-0.9171300000000001, -0.39858899999999997]",AS,A64 - COMMINGES,{'roadname': 'A64'},ASF,TOULOUSE-BAYONNE,D
2651,"[43.485911, 1.549363]","[0.402267, -0.915522]",AS,A61 - TOULOUSE SUD NORD,{'roadname': 'A61'},ASF,NARBONNE-TOULOUSE,
2652,"[43.48368, 1.54897]","[-0.45056599999999997, 0.892743]",AS,A61 - TOULOUSE SUD SUD,{'roadname': 'A61'},ASF,TOULOUSE-NARBONNE,
2696,"[44.200039, 0.508281]","[-0.70994, 0.704263]",AS,A62 - AGEN PORTE D'AQUITAINE,{'roadname': 'A62'},ASF,TOULOUSE-BORDEAUX,D
2722,"[43.813039, 1.361666]","[-0.573576, 0.819152]",AS,A62 - FRONTONNAIS NORD,{'roadname': 'A62'},ASF,TOULOUSE-BORDEAUX,
2723,"[43.811127, 1.359945]","[0.573576, -0.819152]",AS,A62 - FRONTONNAIS SUD,{'roadname': 'A62'},ASF,BORDEAUX-TOULOUSE,
2731,"[44.040551, 1.003932]","[0.8754649999999999, -0.483282]",AS,A62 - GARONNE,{'roadname': 'A62'},ASF,BORDEAUX-TOULOUSE,D
2737,"[43.957308, 1.326801]","[-0.15781299999999998, -0.9874689999999999]",AS,A20 - NAUZE VERT,{'roadname': 'A20'},ASF,BRIVE-MONTAUBAN,
2748,"[44.232035, 1.528853]","[0.462987, -0.886365]",AS,A20 - BOIS DE DOURRE,{'roadname': 'A20'},ASF,BRIVE-MONTAUBAN,
2793,"[44.405262, 0.187927]","[0.358857, -0.9333929999999999]",AS,A62 - MAS D'AGENAIS,{'roadname': 'A62'},ASF,TOULOUSE-BORDEAUX,D
2799,"[44.657497, 1.567862]","[-0.12931499999999999, -0.9916039999999999]",AS,A20 - JARDIN DES CAUSSES DU LOT,{'roadname': 'A20'},ASF,MONTAUBAN-BRIVE,
2809,"[45.031201, 1.524664]","[0.29387399999999997, -0.9558439999999999]",AS,A20 - PECH MONTAT,{'roadname': 'A20'},ASF,BRIVE-MONTAUBAN,D
2813,"[45.149944, 0.799901]","[-0.7365689999999999, -0.676362]",AS,Manoire,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
2818,"[45.161584, 1.440789]","[0.9468179999999999, 0.32177]",AS,A89 - PAYS DE BRIVE,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
2830,"[45.612239, -0.603217]","[-0.338902, 0.9408219999999999]",AS,A10 - SAINT-LEGER EST,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
2831,"[45.6102, -0.598829]","[0.32292699999999996, -0.9464239999999999]",AS,A10 - SAINT-LEGER OUEST,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
2837,"[42.575848, 2.845048]","[0.0518131, 0.9986569999999999]",AS,A9 - VILLAGE CATALAN EST,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,D
2851,"[42.950738, 2.971945]","[0.0373414, 0.9993029999999999]",AS,A9 - LA PALME EST,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
2852,"[42.950322, 2.969599]","[0.0528588, -0.998602]",AS,A9 - LA PALME OUEST,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
2863,"[43.178279, 2.542788]","[-0.9869119999999999, -0.16125899999999999]",AS,A61 - LES CORBIERES NORD,{'roadname': 'A61'},ASF,NARBONNE-TOULOUSE,
2864,"[43.176788, 2.541936]","[0.9348259999999999, -0.355107]",AS,A61 - LES CORBIERES SUD,{'roadname': 'A61'},ASF,TOULOUSE-NARBONNE,
2865,"[43.219719, 2.216899]","[-0.9961949999999999, 0.0871557]",AS,A61 - CARCASSONNE ARZENS NORD,{'roadname': 'A61'},ASF,NARBONNE-TOULOUSE,
2866,"[43.217161, 2.220926]","[0.962028, -0.272952]",AS,A61 - CARCASSONNE ARZENS SUD,{'roadname': 'A61'},ASF,TOULOUSE-NARBONNE,
2874,"[43.353202, 1.808903]","[-0.630134, 0.7764869999999999]",AS,A61 - PORT LAURAGAIS NORD,{'roadname': 'A61'},ASF,NARBONNE-TOULOUSE,
2875,"[43.352608, 1.806376]","[0.8583339999999999, -0.513092]",AS,A61 - PORT LAURAGAIS SUD,{'roadname': 'A61'},ASF,TOULOUSE-NARBONNE,
2888,"[43.214896, 3.08941]","[-0.45570000000000005, -0.890133]",AS,A9 - NARBONNE VINASSAN NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
2889,"[43.206793, 3.08941]","[0.37848699999999996, 0.925607]",AS,A9 - NARBONNE VINASSAN SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
2893,"[43.360969, 3.344045]","[-0.766044, -0.642788]",AS,A9 - BEZIERS MONTBLANC NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
