,id_pdc_itinerance,point_de_charge_id
192,FRELCE523H,f1d31254-45d7-4c16-8a30-6cd653d691cc
193,FRELCE537F,8a66f2b0-3715-4c78-b7e5-aabf51cc2182
194,FRELCE53VK,d9eb3039-c279-4ffb-be17-36fcf7ba56c4
195,FRELCE54AX,37c0722d-8fc0-44ae-a0e8-5daab0171170
196,FRELCE54RG,7b7f74bf-dff7-48b6-b74c-481411ce153e
197,FRELCE55X7,846814a0-d763-43f1-b049-4f4d61decf4e
198,FRELCE56QK,70ab0eb4-9418-4d20-a938-aed7743510e8
199,FRELCE57ET,6c66e1d5-0741-45cf-ba6c-e8615063bee4
200,FRELCE5882,de7f0737-3b40-4431-b484-21fad57d46db
201,FRELCE58Q6,552384f4-b462-4225-bbcd-314b66d0f797
202,FRELCE59RT,df8cd78f-f8d5-4306-b1b2-ca75b39c3bf1
203,FRELCE59SX,2c2a2aed-6438-426e-8113-ca6275b38523
204,FRELCE59W5,a19137e9-525b-4b2a-b4f1-5bad23ec22c8
205,FRELCE5A6C,6857fa55-76a9-43a5-99ba-0a6f2dca7a48
206,FRELCE5AW8,b4477d89-6024-4d54-becd-92a772bbc4a3
207,FRELCE5BC9,158a6be5-9c17-4ca5-89b6-a8b416a09c73
208,FRELCE5BTW,34efa841-f578-4525-a148-1994057493b9
209,FRELCE5BWR,d6ee057c-058b-4475-9b76-fad788b82892
210,FRELCE5CCX,37b149d1-c517-4890-a89f-992e1b9645e2
211,FRELCE5CDB,0d2484fd-139f-4397-baff-8510bce22a5a
212,FRELCE5CFT,a3f3a72b-c429-41bf-995d-3481649ebd6d
213,FRELCE5CRB,9ffade35-7af5-4f65-8aa5-f10ba24f1c3d
214,FRELCE5DDB,95b5606c-bcb7-47b8-843e-c8ee1446cc60
215,FRELCE5DNY,c76620f3-3410-49db-9be4-4a508f65a38b
216,FRELCE5EKD,c0820868-3d0c-46fb-a411-924dc80ff6b1
217,FRELCE5EMG,8123cd55-a756-4486-90a0-87900b5f88b3
218,FRELCE5FNN,fe1c7959-9d5c-4b99-82cf-67e6fd23284e
219,FRELCE5G3P,d03346de-0beb-4ba7-af8b-6eefab4e7560
220,FRELCE5GUC,17c23141-bf61-406a-84fb-9d1695adb2ff
221,FRELCE5HF4,22c6ecc1-fb7b-4b49-80fe-826b29242539
222,FRELCE5HGN,a57ee2bd-330a-4b3d-b313-111ce7412fdd
223,FRELCE5HMF,f64098c3-baf4-4284-8608-c1f92b715d6a
224,FRELCE5J48,fdc73f0b-82a5-4d3d-ae7f-75a7919ac885
225,FRELCE5J9L,33ca3943-bb1d-499c-8fdf-66e50b6cd50b
226,FRELCE5JHS,746e297b-3c8f-48de-a00e-b5ecac480ba6
227,FRELCE5KCW,26f71c83-8806-4487-b4a8-305158ee3b4d
228,FRELCE5KQP,88eb3f11-ccb3-4e55-b16a-123fd197f2b3
229,FRELCE5LFQ,41ac45c3-2c71-4165-9c00-c2592ce5062e
230,FRELCE5LRL,39ff7e7d-7b2f-47f3-a7ad-8c50a8ee3574
231,FRELCE5MPB,41c23e59-a113-4b94-9a23-cf256e4d1704
232,FRELCE5MTY,2d4db2cd-9894-42ca-8768-c446dba83541
